Time,env_temperature_(°C),env_humidity_(%),pressure_(hPa),soil_moisture_(%),plants_temp_(°C),plants_hum_(%),light_intensity_(lux),ir_(raw),current_(mA),voltage_(V),power_(W),label_1,label_2,label_3
2026-09-12 09:14:03,21.29,67.46,1022.21,79.98,20.75,77.52,12476.4,1682.0,17.72,15.26,0.27,OK: 0.91,LOW_LIGHT: 0.07,LOW_TEMP_ALERT: 0.01
2026-09-12 09:34:31,21.53,67.29,1022.29,79.88,21.2,76.77,13930.8,2251.0,22.52,15.26,0.34,OK: 0.94,LOW_LIGHT: 0.04,LOW_TEMP_ALERT: 0.01
2026-09-12 09:54:34,21.88,65.67,1022.34,80.14,21.82,75.18,14977.8,2728.0,25.8,15.26,0.39,OK: 0.97,LOW_LIGHT: 0.03,LOW_TEMP_ALERT: 0.01
2026-09-12 10:14:37,22.49,62.65,1022.41,79.8,22.61,73.92,16113.6,3290.0,29.12,15.27,0.44,OK: 0.96,LOW_LIGHT: 0.03,LOW_TEMP_ALERT: 0.01
2026-09-12 10:34:42,23.18,60.63,1022.5,79.77,23.51,72.04,38563.2,18791.0,1.8,20.17,0.04,OK: 0.95,LOW_LIGHT: 0.04,LOW_TEMP_ALERT: 0.01
2026-09-12 10:55:55,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NIGHT_OK: 0.60,OK: 0.40,NOT_ABLE_TO_WATER: 0.01
2026-09-12 11:17:05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NIGHT_OK: 0.60,OK: 0.40,NOT_ABLE_TO_WATER: 0.01
2026-09-12 11:36:19,29.68,52.21,1022.65,77.93,25.49,66.75,73006.2,28684.0,117.52,20.74,2.44,OK: 0.98,EXCESS_WATER: 0.01,LOW_TEMP_ALERT: 0.01
2026-09-12 11:56:22,30.08,45.97,1022.68,77.26,27.33,61.12,129264.6,52035.0,193.72,20.85,4.04,OK: 1.00,EXCESS_WATER: 0.00,FUNGI_ALERT_EXCESS_WATER: 0.00
2026-09-12 12:16:25,29.93,51.07,1022.63,77.38,27.45,62.3,47065.2,15542.0,25.72,20.7,0.53,OK: 0.95,LOW_LIGHT: 0.04,LOW_TEMP_ALERT: 0.01
2026-09-12 12:36:49,30.09,49.2,1022.58,77.49,27.96,60.98,55997.4,17131.0,25.32,20.72,0.52,OK: 0.94,LOW_LIGHT: 0.04,LOW_TEMP_ALERT: 0.01
2026-09-12 12:56:53,30.52,46.56,1022.55,77.13,28.65,60.05,149436.59,56309.0,211.6,20.86,4.41,OK: 1.00,EXCESS_WATER: 0.00,FUNGI_ALERT_EXCESS_WATER: 0.00
2026-09-12 13:13:11,31.97,43.99,1022.48,76.94,29.34,56.83,157285.8,73894.0,270.6,20.89,5.65,OK: 0.99,WATER: 0.01,EXCESS_WATER: 0.00
2026-09-12 13:17:21,32.23,42.01,1022.44,76.97,29.47,56.66,157285.8,76141.0,263.52,20.88,5.5,OK: 1.00,EXCESS_WATER: 0.00,FUNGI_ALERT_EXCESS_WATER: 0.00
2026-09-12 13:18:20,32.44,42.48,1022.4,77.01,29.4,56.08,68172.6,21209.0,1.92,20.58,0.04,OK: 0.94,LOW_LIGHT: 0.03,LOW_TEMP_ALERT: 0.01
2026-09-12 16:47:32,32.58,41.53,1022.13,76.93,31.94,48.93,157285.8,80248.0,287.6,20.96,6.03,ANOMALY_DETECTED: 0.99,NOT_ABLE_TO_WATER: 0.01,OK: 0.01
2026-09-12 16:48:10,32.7,41.12,1021.92,76.78,32.01,48.21,157285.8,80368.0,285.0,20.96,5.97,ANOMALY_DETECTED: 0.99,OK: 0.01,EXCESS_WATER: 0.00
2026-09-12 16:53:26,32.89,39.3,1021.76,76.78,32.28,47.06,157285.8,80088.0,274.12,20.95,5.74,ANOMALY_DETECTED: 0.99,OK: 0.01,EXCESS_WATER: 0.00
2026-09-12 16:55:16,32.98,39.77,1021.64,76.91,32.48,46.03,157285.8,80001.0,270.12,20.95,5.66,ANOMALY_DETECTED: 0.99,OK: 0.01,EXCESS_WATER: 0.00
2026-09-12 16:58:09,33.07,39.82,1021.53,53.85,32.5,46.74,157285.8,78463.0,265.8,20.94,5.57,WATER: 0.79,ANOMALY_DETECTED: 0.11,NOT_ABLE_TO_WATER: 0.10
2026-09-12 17:00:33,32.95,41.37,1021.45,54.58,32.42,46.29,157285.8,78832.0,268.92,20.95,5.63,WATER: 0.77,ANOMALY_DETECTED: 0.12,NOT_ABLE_TO_WATER: 0.12
2026-09-12 17:03:53,32.99,41.0,1021.39,45.14,32.41,46.62,157285.8,79641.0,271.2,20.95,5.68,WATER: 0.80,NOT_ABLE_TO_WATER: 0.12,ANOMALY_DETECTED: 0.07
2026-09-12 17:09:07,32.84,41.63,1021.35,48.46,32.38,46.47,157285.8,78210.0,281.92,20.96,5.91,WATER: 0.77,NOT_ABLE_TO_WATER: 0.12,ANOMALY_DETECTED: 0.10
2026-09-12 17:09:44,32.76,41.61,1021.33,48.66,32.35,46.61,157285.8,78300.0,284.92,20.97,5.97,WATER: 0.77,NOT_ABLE_TO_WATER: 0.12,ANOMALY_DETECTED: 0.10
2026-09-12 17:10:41,32.74,40.98,1021.33,48.86,32.38,46.75,157285.8,78181.0,279.92,20.96,5.87,WATER: 0.77,NOT_ABLE_TO_WATER: 0.12,ANOMALY_DETECTED: 0.10
