date_time,env_temperature_(°C),env_humidity_(%),pressure_(hPa),soil_moisture_(%),plants_temp_(°C),plants_hum_(%),light_intensity_(lux),ir_(raw),current_(mA),voltage_(V),power_(W)
3/09/2026 13:49:27,"36,39","38,94","1021,24","78,58","31,25","55,63","157285,8",73483,"240,2","20,89","5,02"
3/09/2026 13:49:50,"36,35","38,67","1021,24","78,89","31,24","54,2","157285,8",73762,"242,12","20,89","5,06"
3/09/2026 13:50:13,"36,41","38,14","1021,24","78,98","31,25","54,86","157285,8",73813,"243,12","20,89","5,08"
3/09/2026 13:51:08,"36,32","38,64","1021,24","79,24","31,28","53,94","157285,8",74055,"248,8","20,89","5,2"
3/09/2026 13:51:31,"36,35","37,96","1021,24","79,34","31,29","53,12","157285,8",74073,"250,12","20,9","5,23"
3/09/2026 13:52:09,"36,31","38,04","1021,21","79,51","31,28","54,12","157285,8",74179,"249,32","20,89","5,21"
3/09/2026 13:52:32,"36,3","38,25","1021,21","79,53","31,29","54,3","157285,8",73987,"248,6","20,89","5,19"
3/09/2026 13:52:56,"36,31","38,15","1021,22","79,59","31,28","54,12","157285,8",74104,"248,92","20,9","5,2"
3/09/2026 13:53:19,"36,27","39,07","1021,24","79,59","31,29","54,65","157285,8",73971,"248,32","20,9","5,19"
3/09/2026 13:53:43,"36,29","38,98","1021,24","79,81","31,35","54,38","157285,8",74040,"249,2","20,9","5,21"
3/09/2026 13:54:07,"36,25","39,56","1021,23","79,78","31,33","55,36","157285,8",74179,"251,32","20,9","5,25"
3/09/2026 13:54:31,"36,26","39,37","1021,23","79,84","31,36","54,06","157285,8",74087,"249,8","20,9","5,22"
3/09/2026 13:54:54,"36,13","40,6","1021,22","79,91","31,36","56,32","157285,8",73884,251,"20,9","5,25"
3/09/2026 13:55:17,"35,98","41,11","1021,21","79,86","31,36","55,99","157285,8",73832,249,"20,9","5,2"
3/09/2026 13:55:42,"36,04","40,42","1021,21","79,95","31,33","57,19","157285,8",73747,"247,8","20,9","5,18"
3/09/2026 13:56:06,"36,16","39,64","1021,21","80,03","31,33","55,15","157285,8",73598,"245,6","20,9","5,13"
3/09/2026 13:56:29,"36,24","39,86","1021,22","80,05","31,33","56,45","157285,8",73440,"245,52","20,9","5,13"
3/09/2026 13:56:57,"36,32","39,79","1021,21","80,07","31,35","57,11","157285,8",73386,"246,92","20,9","5,16"
3/09/2026 13:57:21,"36,35",40,"1021,21","79,99","31,38","57,03","157285,8",73369,"249,72","20,9","5,22"
3/09/2026 13:57:44,"36,4","39,84","1021,21","80,11","31,41","56,73","157285,8",73204,"246,4","20,9","5,15"
3/09/2026 13:58:44,"37,27","39,76","1021,19","79,98","31,48","55,86","157285,8",72861,"246,92","20,9","5,16"
3/09/2026 13:59:07,"37,07","39,65","1021,21","72,42","31,43","55,05","157285,8",72924,"248,92","20,51","5,1"
3/09/2026 14:03:22,"36,8","40,28","1021,2","80,65","31,52","55,78","157285,8",70665,"253,4","20,92","5,3"
