Time,env_temperature_(°C),env_humidity_(%),pressure_(hPa),soil_moisture_(%),plants_temp_(°C),plants_hum_(%),light_intensity_(lux),ir_(raw),current_(mA),voltage_(V),power_(W),label_1,label_2,label_3
2026-09-11 00:00:17,24.33,60.25,1016.98,75.43,21.52,73.26,0.0,0.0,-0.4,0.37,-0.0,NIGHT_OK: 1.00,EXCESS_WATER: 0.00,FUNGI_ALERT_EXCESS_WATER: 0.00
2026-09-11 00:20:21,24.14,61.46,1017.13,75.51,21.51,74.54,0.0,0.0,-0.2,0.37,-0.0,NIGHT_OK: 1.00,EXCESS_WATER: 0.00,FUNGI_ALERT_EXCESS_WATER: 0.00
2026-09-11 00:40:25,23.98,61.88,1017.31,75.62,21.38,75.27,0.0,0.0,-0.28,0.37,-0.0,NIGHT_OK: 1.00,EXCESS_WATER: 0.00,FUNGI_ALERT_EXCESS_WATER: 0.00
2026-09-11 01:00:29,23.8,63.61,1017.46,75.6,21.47,75.78,0.0,0.0,-0.28,0.37,-0.0,NIGHT_OK: 0.99,NOT_ABLE_TO_WATER: 0.01,EXCESS_WATER: 0.00
2026-09-11 01:20:32,23.38,66.87,1017.66,75.79,20.9,77.45,0.0,0.0,-0.28,0.38,-0.0,NIGHT_OK: 0.99,NOT_ABLE_TO_WATER: 0.01,EXCESS_WATER: 0.00
2026-09-11 01:40:36,23.05,66.74,1017.83,76.07,20.52,77.93,0.0,0.0,-0.4,0.38,-0.0,NIGHT_OK: 0.99,NOT_ABLE_TO_WATER: 0.01,EXCESS_WATER: 0.00
2026-09-11 02:00:40,22.73,66.87,1017.95,76.03,20.39,77.67,0.0,0.0,-0.28,0.38,-0.0,NIGHT_OK: 0.99,NOT_ABLE_TO_WATER: 0.01,EXCESS_WATER: 0.00
2026-09-11 02:20:44,22.42,67.91,1018.03,76.17,20.28,78.34,0.0,0.0,-0.48,0.39,-0.0,NIGHT_OK: 0.99,NOT_ABLE_TO_WATER: 0.01,EXCESS_WATER: 0.00
2026-09-11 02:40:47,22.12,64.25,1018.1,76.42,20.13,73.84,0.0,0.0,0.0,0.38,0.0,NIGHT_OK: 0.99,NOT_ABLE_TO_WATER: 0.01,EXCESS_WATER: 0.00
2026-09-11 03:00:51,21.96,62.43,1018.11,76.38,20.14,72.56,0.0,0.0,-0.28,0.38,-0.0,NIGHT_OK: 0.99,NOT_ABLE_TO_WATER: 0.01,EXCESS_WATER: 0.00
2026-09-11 03:20:55,21.77,62.61,1018.09,76.55,20.07,72.2,0.0,0.0,-0.28,0.38,-0.0,NIGHT_OK: 0.99,NOT_ABLE_TO_WATER: 0.01,EXCESS_WATER: 0.00
2026-09-11 03:40:59,21.6,62.84,1018.06,76.51,19.97,72.3,0.0,0.0,-0.48,0.39,-0.0,NIGHT_OK: 0.99,NOT_ABLE_TO_WATER: 0.01,EXCESS_WATER: 0.00
2026-09-11 04:01:03,21.51,62.42,1018.05,76.7,20.07,71.88,0.0,0.0,-0.08,0.38,-0.0,NIGHT_OK: 0.99,NOT_ABLE_TO_WATER: 0.01,EXCESS_WATER: 0.00
2026-09-11 04:21:08,21.43,62.2,1018.04,76.8,19.87,72.3,0.0,0.0,-0.28,0.38,-0.0,NIGHT_OK: 0.99,NOT_ABLE_TO_WATER: 0.01,EXCESS_WATER: 0.00
2026-09-11 04:41:12,21.35,62.03,1018.06,76.76,19.78,72.11,0.0,0.0,-0.2,0.38,-0.0,NIGHT_OK: 0.99,NOT_ABLE_TO_WATER: 0.01,EXCESS_WATER: 0.00
2026-09-11 05:01:15,21.22,62.7,1018.06,77.08,19.56,72.85,0.0,0.0,-0.4,0.38,-0.0,NIGHT_OK: 0.99,NOT_ABLE_TO_WATER: 0.01,EXCESS_WATER: 0.00
2026-09-11 05:21:19,21.07,63.45,1018.09,77.09,19.33,73.54,0.0,0.0,-0.48,0.38,-0.0,NIGHT_OK: 0.99,NOT_ABLE_TO_WATER: 0.01,EXCESS_WATER: 0.00
2026-09-11 05:41:23,20.86,64.46,1018.09,77.22,19.1,73.89,0.0,0.0,-0.2,0.38,-0.0,NIGHT_OK: 0.99,NOT_ABLE_TO_WATER: 0.01,EXCESS_WATER: 0.00
2026-09-11 06:01:26,20.6,65.05,1018.15,77.34,18.78,74.34,0.0,0.0,-0.28,0.38,-0.0,NIGHT_OK: 0.99,NOT_ABLE_TO_WATER: 0.01,EXCESS_WATER: 0.00
2026-09-11 06:21:31,20.36,65.04,1018.24,77.29,18.56,74.38,0.0,0.0,-0.28,0.4,-0.0,NIGHT_OK: 0.99,NOT_ABLE_TO_WATER: 0.01,EXCESS_WATER: 0.00
2026-09-11 06:41:37,20.1,64.74,1018.31,77.54,18.25,73.82,0.0,0.0,-0.48,0.41,-0.0,NIGHT_OK: 0.99,NOT_ABLE_TO_WATER: 0.01,EXCESS_WATER: 0.00
2026-09-11 07:01:40,19.78,65.39,1018.38,77.67,17.77,74.78,6.0,3.0,-0.08,1.25,-0.0,LOW_LIGHT: 0.71,NIGHT_OK: 0.28,OK: 0.01
2026-09-11 07:21:45,19.59,63.57,1018.51,77.6,17.85,73.05,394.2,139.0,0.6,4.14,0.0,LOW_LIGHT: 0.92,NIGHT_OK: 0.05,OK: 0.03
2026-09-11 07:41:48,19.38,63.18,1018.64,77.81,17.74,71.9,2961.6,568.0,1.6,14.93,0.02,LOW_LIGHT: 0.98,OK: 0.01,EXCESS_WATER: 0.00
