soil_moisture_(%),env_temperature_(°C),env_humidity_(%),plants_temp_(°C),plants_hum_(%),light_intensity_(lux),power_(W),soil_moisture_baseline,max_anomaly_detected,label
99.98,14.59,42.05,13.52,45.36,7359.44,1.1,67.91,27.26,EXCESS_WATER
51.17,27.59,43.8,21.91,40.98,73966.7,2.53,45.69,24.22,OK
71.91,16.46,54.6,15.66,57.21,157285.8,5.21,89.74,33.76,WATER
36.57,17.73,87.38,19.69,87.93,157285.8,6.05,40.07,33.24,WATER
63.31,6.66,86.52,6.26,89.91,157285.8,5.56,72.99,24.0,LOW_TEMP_ALERT
83.35,23.49,77.22,19.43,75.42,0.0,0.0,81.72,30.4,NIGHT_OK
64.53,40.74,86.41,36.01,100.0,23892.77,0.87,60.61,30.49,NOT_ABLE_TO_VENTILATE
32.81,29.19,71.17,27.32,78.52,2494.83,0.6,36.76,33.62,NOT_ABLE_TO_WATER
17.86,24.37,87.54,20.36,81.46,157285.8,4.2,18.35,43.61,ANOMALY_DETECTED
74.53,25.81,24.3,26.85,20.49,157285.8,5.76,73.87,29.26,OK
23.23,44.95,19.83,46.13,18.62,44615.7,1.29,21.04,34.09,NOT_ABLE_TO_WATER
5.57,21.72,48.59,21.6,48.21,107431.16,3.65,23.35,26.0,WATER
94.04,18.3,86.93,16.66,97.72,157285.8,5.88,93.0,34.55,OK
75.87,11.64,91.28,12.44,87.58,4510.52,0.0,44.44,31.23,FUNGI_ALERT_EXCESS_WATER
61.53,39.52,50.98,39.82,70.35,18801.15,0.29,68.0,35.29,NOT_ABLE_TO_VENTILATE
15.19,31.4,34.24,32.76,50.83,0.0,0.0,58.89,36.92,NOT_ABLE_TO_WATER
57.99,37.41,84.52,36.17,82.55,157285.8,5.58,63.35,33.38,VENTILATE
20.58,31.92,33.23,29.99,35.64,0.0,0.0,21.2,29.2,NOT_ABLE_TO_WATER
48.3,14.38,79.35,13.97,82.51,0.0,0.0,51.98,25.37,LOW_TEMP_ALERT
22.23,19.14,46.49,14.99,50.16,126409.4,3.77,13.58,28.65,WATER
41.73,7.61,88.66,5.17,95.25,157285.8,6.18,81.47,33.34,WATER
10.62,40.33,92.38,42.86,100.0,17838.31,0.76,17.72,31.23,NOT_ABLE_TO_WATER
92.41,38.92,67.48,40.6,68.42,123084.1,4.02,93.42,30.05,VENTILATE
30.88,42.66,34.51,38.02,44.12,157285.8,5.71,33.1,26.69,WATER
10.23,19.72,29.98,19.99,42.74,128488.03,3.47,87.74,32.69,WATER
83.21,44.95,85.46,45.16,88.12,0.0,0.0,64.91,31.04,FUNGI_ALERT_EXCESS_WATER
60.61,14.61,70.08,10.67,78.99,32422.89,1.66,60.7,27.04,LOW_TEMP_ALERT
24.01,9.91,20.5,4.99,30.98,0.0,0.0,33.56,30.0,NOT_ABLE_TO_WATER
42.27,34.02,16.44,33.35,10.46,0.0,0.0,72.07,35.4,NOT_ABLE_TO_WATER
70.86,20.51,87.77,19.11,91.16,30672.11,1.78,56.21,29.05,FUNGI_ALERT_EXCESS_WATER
36.62,26.13,39.77,24.65,50.15,157285.8,5.05,41.89,29.26,WATER
74.42,16.96,56.22,18.37,52.68,157285.8,4.66,74.78,35.85,OK
84.99,8.27,93.97,3.38,88.65,6689.29,0.28,82.05,24.0,LOW_TEMP_ALERT
42.62,41.62,56.22,43.04,76.35,157285.8,4.8,84.32,36.09,WATER
53.84,10.27,31.69,8.39,28.9,77.15,0.0,17.49,34.35,EXCESS_WATER
35.62,11.95,66.76,12.0,68.48,0.0,0.0,33.57,30.84,NOT_ABLE_TO_WATER
57.48,33.42,40.47,31.21,46.05,157285.8,5.39,60.69,31.91,OK
77.65,19.48,88.98,16.73,100.0,0.0,0.0,55.63,26.69,FUNGI_ALERT_EXCESS_WATER
24.66,22.58,35.25,20.36,38.95,0.0,0.0,28.05,25.4,NOT_ABLE_TO_WATER
88.99,22.52,33.06,20.88,49.41,64805.0,2.48,89.5,27.97,OK
77.63,31.85,78.63,30.95,75.51,0.0,0.0,30.41,26.65,FUNGI_ALERT_EXCESS_WATER
23.14,15.64,93.85,12.06,100.0,7725.19,0.84,12.0,28.27,NOT_ABLE_TO_WATER
21.12,38.94,16.72,33.79,25.57,157285.8,5.23,12.64,30.51,WATER
29.86,39.86,21.24,40.99,28.75,157285.8,5.59,33.58,29.16,WATER
33.86,44.15,43.19,40.37,60.2,50717.46,1.43,29.47,33.44,NOT_ABLE_TO_WATER
58.98,33.94,74.04,34.02,85.61,0.0,0.0,64.38,32.06,NIGHT_OK
22.75,13.15,60.43,7.53,66.5,0.0,0.0,32.17,31.8,NOT_ABLE_TO_WATER
8.63,29.87,69.93,28.7,75.06,47916.97,1.78,11.4,33.6,NOT_ABLE_TO_WATER
19.5,43.45,24.28,38.96,26.82,0.0,0.0,22.19,43.88,NOT_ABLE_TO_WATER
48.88,13.67,69.6,9.95,78.64,157285.8,5.75,46.05,29.58,LOW_TEMP_ALERT
97.01,6.52,86.42,6.47,88.68,0.0,0.0,12.31,34.16,FUNGI_ALERT_EXCESS_WATER
41.63,25.67,24.49,23.65,26.3,0.0,0.0,46.21,25.54,NIGHT_OK
74.23,25.75,41.0,21.35,37.97,157285.8,6.13,75.08,35.63,OK
57.2,18.16,82.71,16.42,76.95,25073.38,0.61,52.35,33.85,OK
26.7,30.87,74.02,28.31,81.75,0.0,0.0,52.91,35.69,NOT_ABLE_TO_WATER
85.82,14.19,25.25,9.58,28.8,40138.36,0.63,86.05,28.65,LOW_TEMP_ALERT
26.02,32.79,93.78,30.26,100.0,157285.8,5.1,29.76,29.28,WATER
97.2,18.71,45.72,16.24,49.16,18949.53,0.0,33.14,31.2,EXCESS_WATER
0.42,18.05,29.34,15.85,37.61,0.0,0.0,31.7,29.25,NOT_ABLE_TO_WATER
54.52,21.76,74.26,19.56,76.95,7845.38,0.85,61.37,29.76,LOW_LIGHT
20.52,12.12,54.4,8.98,53.78,0.0,0.0,24.19,33.54,NOT_ABLE_TO_WATER
70.63,44.16,75.29,44.66,84.09,157285.8,5.0,14.06,27.37,FUNGI_ALERT_EXCESS_WATER
75.3,22.55,18.42,22.42,32.58,135585.94,4.99,17.5,35.02,EXCESS_WATER
91.71,40.58,35.98,39.85,41.43,157285.8,4.19,88.98,27.54,VENTILATE
91.71,9.8,49.75,9.32,50.85,4946.12,0.0,88.78,26.96,LOW_TEMP_ALERT
74.34,43.44,52.69,42.7,64.51,0.0,0.0,32.46,34.37,FUNGI_ALERT_EXCESS_WATER
15.71,43.85,59.08,45.79,53.97,148190.21,4.98,92.0,31.68,WATER
62.22,14.35,92.35,10.57,91.9,32891.61,0.58,62.44,25.91,LOW_TEMP_ALERT
67.9,31.01,87.6,26.56,90.2,6261.02,0.73,72.33,29.14,LOW_LIGHT
19.67,26.17,56.65,23.47,59.97,157285.8,5.06,64.57,27.59,WATER
29.57,19.38,44.57,19.17,34.35,26389.74,0.62,22.67,35.69,NOT_ABLE_TO_WATER
67.87,40.94,24.89,38.85,34.74,101680.66,3.06,71.66,31.93,HYDRIC_STRESS_ALERT
96.4,22.78,43.87,21.71,42.6,0.0,0.0,70.0,39.31,FUNGI_ALERT_EXCESS_WATER
31.1,37.64,43.24,35.48,53.53,0.0,0.0,33.55,35.94,NOT_ABLE_TO_WATER
66.67,18.5,91.28,19.28,89.36,34976.28,0.41,68.12,31.65,OK
81.54,41.2,86.4,43.78,89.53,0.0,0.0,33.59,25.3,FUNGI_ALERT_EXCESS_WATER
57.06,22.19,28.68,21.63,33.97,11712.8,0.76,60.21,30.94,OK
19.92,8.16,91.87,8.21,92.88,157285.8,5.38,22.43,30.51,WATER
70.95,30.12,49.32,28.08,68.93,157285.8,4.46,57.89,35.11,EXCESS_WATER
34.46,40.05,47.37,36.74,54.76,2930.58,0.02,27.95,31.9,NOT_ABLE_TO_WATER
41.9,35.43,68.08,35.96,71.93,0.0,0.0,43.13,33.51,NIGHT_OK
77.15,32.93,22.93,31.11,36.58,18072.41,1.08,73.39,29.6,OK
49.34,17.67,20.99,15.32,27.83,157285.8,5.7,51.69,29.26,OK
39.93,14.51,94.68,12.96,95.12,1485.62,0.49,39.97,28.43,NOT_ABLE_TO_WATER
99.29,27.67,42.97,25.03,48.44,157285.8,4.98,61.9,33.46,EXCESS_WATER
96.79,43.78,23.28,44.45,32.83,0.0,0.0,87.62,29.12,HYDRIC_STRESS_ALERT
56.1,24.73,28.62,22.45,24.92,0.0,0.0,28.79,26.04,FUNGI_ALERT_EXCESS_WATER
10.08,38.47,32.36,36.08,40.8,16031.66,0.0,85.95,29.7,NOT_ABLE_TO_WATER
75.74,33.07,20.25,30.97,34.09,39356.83,1.06,76.85,36.17,OK
54.98,16.01,48.43,12.55,62.3,0.0,0.0,53.93,32.45,LOW_TEMP_ALERT
5.36,21.37,66.82,18.85,90.02,47533.74,1.89,77.08,29.51,NOT_ABLE_TO_WATER
87.43,24.51,31.38,20.47,51.23,0.0,0.0,87.32,27.36,NIGHT_OK
72.74,34.95,49.5,34.68,43.81,157285.8,4.73,79.66,32.65,OK
78.29,6.78,15.95,2.71,15.87,9265.75,0.11,81.31,33.56,LOW_TEMP_ALERT
70.33,44.74,89.55,44.4,100.0,29470.64,0.8,64.25,29.93,NOT_ABLE_TO_VENTILATE
65.83,27.89,40.75,25.63,45.69,157285.8,5.4,74.26,37.94,ANOMALY_DETECTED
20.87,12.97,38.12,11.14,57.39,157285.8,5.55,18.44,29.97,WATER
93.81,44.2,40.92,43.07,40.64,48169.75,1.27,87.75,30.08,NOT_ABLE_TO_VENTILATE
90.57,15.31,83.65,13.12,88.8,0.0,0.0,12.52,32.67,FUNGI_ALERT_EXCESS_WATER
31.47,43.74,33.34,45.54,48.38,157285.8,5.2,37.34,27.42,WATER
79.97,12.11,24.9,11.2,16.47,103863.31,2.83,74.98,34.36,LOW_TEMP_ALERT
4.05,32.23,54.98,30.08,55.31,28594.72,1.72,15.03,24.0,NOT_ABLE_TO_WATER
43.2,43.44,63.37,41.02,88.55,0.0,0.0,33.39,30.87,NOT_ABLE_TO_VENTILATE
25.74,10.59,31.89,10.63,49.81,55226.73,2.36,23.4,32.15,WATER
96.15,12.8,41.44,13.71,50.59,157285.8,5.8,65.34,26.28,EXCESS_WATER
32.31,7.5,37.62,6.9,37.65,28418.7,1.93,32.63,25.66,NOT_ABLE_TO_WATER
97.62,9.64,25.49,11.91,17.7,0.0,0.0,93.04,33.41,LOW_TEMP_ALERT
80.37,22.9,63.63,19.71,63.06,0.0,0.0,51.15,27.63,FUNGI_ALERT_EXCESS_WATER
18.44,28.05,31.77,27.99,47.47,0.0,0.0,17.67,29.32,NOT_ABLE_TO_WATER
20.19,11.86,38.76,11.18,38.09,152669.86,4.29,92.64,34.08,WATER
25.73,7.33,84.12,9.17,86.57,44112.43,1.8,57.73,33.36,NOT_ABLE_TO_WATER
40.63,35.53,46.56,37.68,56.83,157285.8,5.75,34.53,27.51,VENTILATE
27.32,23.48,33.51,21.5,53.94,57009.86,0.72,37.13,29.51,NOT_ABLE_TO_WATER
64.95,7.87,17.78,9.19,18.77,157285.8,5.65,60.88,31.14,LOW_TEMP_ALERT
85.14,6.18,61.63,1.84,71.44,34949.78,1.17,75.87,24.21,LOW_TEMP_ALERT
36.19,15.98,31.94,14.11,41.16,48920.59,1.75,29.99,30.38,NOT_ABLE_TO_WATER
17.79,23.19,34.68,21.76,26.66,157285.8,6.77,14.56,45.84,ANOMALY_DETECTED
70.16,43.32,45.2,45.4,36.87,0.0,0.0,71.96,26.26,NOT_ABLE_TO_VENTILATE
92.73,37.01,25.24,32.33,29.62,16741.76,0.34,93.98,29.68,OK
58.11,16.19,38.89,14.24,60.27,67870.88,2.19,62.2,32.02,LOW_TEMP_ALERT
29.99,32.82,58.12,31.8,91.46,157285.8,4.91,33.74,44.73,ANOMALY_DETECTED
19.38,42.38,53.39,39.01,53.35,0.0,0.0,28.1,29.98,NOT_ABLE_TO_WATER
71.03,28.13,75.67,25.71,76.79,157285.8,4.42,74.23,30.26,OK
31.52,27.75,47.46,25.27,49.89,29819.74,0.93,82.06,31.38,NOT_ABLE_TO_WATER
20.75,14.66,55.59,12.73,53.63,0.0,0.0,43.78,28.37,NOT_ABLE_TO_WATER
63.67,29.02,56.51,28.16,69.42,157285.8,6.2,65.85,35.24,OK
46.13,17.33,46.36,15.19,41.56,37055.28,1.1,45.87,31.89,OK
71.44,16.69,77.43,15.25,99.96,0.0,0.0,73.65,26.34,NIGHT_OK
46.32,31.35,43.48,32.1,60.66,1255.48,0.84,43.5,31.37,LOW_LIGHT
46.74,19.17,54.35,19.21,57.5,157285.8,5.56,43.28,30.73,OK
12.35,14.17,40.77,14.58,38.84,0.0,0.0,12.29,33.32,NOT_ABLE_TO_WATER
78.74,33.74,66.7,31.89,65.14,151926.0,4.62,84.27,44.22,ANOMALY_DETECTED
44.13,35.55,68.44,36.45,76.51,7940.4,0.44,22.12,32.1,EXCESS_WATER
6.16,19.98,35.94,15.54,43.78,56321.61,0.85,10.57,29.9,NOT_ABLE_TO_WATER
50.73,24.9,88.77,22.39,82.92,7731.07,0.4,42.05,30.28,LOW_LIGHT
87.18,26.98,67.45,25.87,63.12,117055.96,3.99,92.01,34.11,OK
18.68,28.5,78.63,23.08,80.07,14863.1,0.6,15.72,37.94,ANOMALY_DETECTED
49.03,10.39,47.45,8.71,52.03,0.0,0.0,38.69,32.52,FUNGI_ALERT_EXCESS_WATER
53.36,20.01,39.24,18.74,31.59,16445.02,0.61,63.79,33.9,NOT_ABLE_TO_WATER
82.83,nan,25.96,36.36,29.12,0.0,0.0,59.47,32.16,INSUFFICIENT_DATA
77.65,22.93,22.61,23.25,25.64,157285.8,6.19,80.21,28.59,OK
75.8,17.76,60.94,16.53,70.74,32496.39,0.67,89.53,36.36,OK
67.37,37.28,56.68,38.88,53.29,157285.8,5.31,60.63,27.29,VENTILATE
35.93,12.25,90.09,11.19,84.37,0.0,0.0,29.85,28.2,NOT_ABLE_TO_WATER
98.45,28.98,16.21,25.54,15.24,157285.8,5.22,30.69,42.03,ANOMALY_DETECTED
74.94,9.57,23.25,7.76,35.99,326.68,0.0,76.71,24.0,LOW_TEMP_ALERT
21.83,44.13,81.29,42.42,90.33,38573.38,1.39,18.1,34.62,NOT_ABLE_TO_WATER
48.18,19.24,49.19,15.39,58.02,0.0,0.0,47.1,32.33,NIGHT_OK
80.71,27.04,60.06,25.31,57.31,157285.8,4.58,82.06,30.72,OK
84.81,21.18,65.7,21.19,57.59,36798.72,1.73,32.43,29.58,EXCESS_WATER
85.94,24.24,25.72,19.96,36.88,0.0,nan,80.5,30.15,INSUFFICIENT_DATA
94.67,16.02,42.57,15.64,61.1,3539.36,0.46,85.21,30.42,LOW_LIGHT
9.93,43.07,89.44,40.61,100.0,148843.05,4.63,10.64,26.74,WATER
75.48,21.23,40.14,19.86,54.47,157285.8,6.04,73.18,29.15,OK
28.86,22.89,38.71,20.55,34.18,6513.9,0.0,24.39,32.7,NOT_ABLE_TO_WATER
82.74,35.14,46.84,31.6,51.06,157285.8,5.28,85.54,27.88,OK
21.57,24.36,25.65,19.42,34.08,157285.8,5.65,15.22,27.03,WATER
13.67,13.94,18.42,15.43,14.15,0.0,0.0,14.97,27.03,NOT_ABLE_TO_WATER
72.3,18.47,26.45,18.58,40.94,0.0,0.0,38.17,37.24,FUNGI_ALERT_EXCESS_WATER
89.26,5.48,27.7,6.91,25.02,0.0,0.0,88.43,36.84,LOW_TEMP_ALERT
61.59,17.42,94.0,10.37,88.03,136927.31,5.33,68.21,31.77,LOW_TEMP_ALERT
42.05,35.5,35.9,32.21,52.07,0.0,0.0,42.91,26.56,NIGHT_OK
30.18,6.79,84.38,6.26,94.49,0.0,0.0,29.18,31.96,NOT_ABLE_TO_WATER
65.45,40.98,61.64,36.04,69.94,0.0,0.0,60.64,32.66,NOT_ABLE_TO_VENTILATE
64.35,13.92,90.9,11.02,100.0,0.0,0.0,56.89,29.48,LOW_TEMP_ALERT
19.35,43.52,86.5,39.58,83.82,0.0,0.0,21.26,28.17,NOT_ABLE_TO_WATER
99.17,41.9,64.09,41.25,71.34,22893.72,0.61,70.57,27.08,EXCESS_WATER
71.95,22.06,48.34,21.41,50.93,13278.45,0.49,74.88,29.66,OK
89.62,24.38,50.21,21.39,48.16,2791.41,0.0,26.25,31.63,EXCESS_WATER
91.24,32.77,35.43,32.47,44.37,0.0,0.0,24.31,27.07,FUNGI_ALERT_EXCESS_WATER
56.28,38.81,17.97,37.55,18.12,157285.8,5.54,56.53,35.95,HYDRIC_STRESS_ALERT
55.78,22.06,59.04,20.71,60.82,0.0,0.0,78.36,32.33,NOT_ABLE_TO_WATER
44.49,35.58,94.26,36.67,94.47,nan,0.0,40.59,29.19,INSUFFICIENT_DATA
75.28,23.24,86.38,21.52,94.67,0.0,0.0,74.59,26.96,NIGHT_OK
38.07,11.4,57.43,8.85,48.9,135440.9,3.72,18.67,31.92,WATER
96.71,43.94,45.89,45.93,60.67,43430.49,1.68,49.16,40.68,ANOMALY_DETECTED
83.12,7.94,50.88,7.0,54.29,157285.8,5.24,72.87,29.14,EXCESS_WATER
44.24,16.14,33.85,13.26,45.27,0.0,0.0,45.28,33.4,LOW_TEMP_ALERT
10.21,30.56,82.21,27.99,96.1,157285.8,4.56,47.19,30.24,WATER
92.41,21.32,40.71,20.82,59.43,0.0,0.0,89.11,42.69,NIGHT_OK
33.47,18.3,48.2,13.93,59.11,157285.8,4.77,25.69,30.85,WATER
88.01,24.61,82.96,22.11,87.51,0.0,0.0,91.48,27.0,NIGHT_OK
52.8,36.03,93.77,31.51,100.0,157285.8,6.07,13.32,45.14,ANOMALY_DETECTED
51.09,6.66,27.0,6.26,33.16,71354.65,0.09,50.65,26.62,LOW_TEMP_ALERT
2.52,38.37,75.35,39.5,89.12,0.0,0.0,74.46,29.74,NOT_ABLE_TO_WATER
24.43,7.76,34.48,6.88,55.0,50939.76,1.54,27.6,30.9,NOT_ABLE_TO_WATER
48.42,6.39,74.63,5.43,91.29,35013.89,0.08,43.36,35.51,LOW_TEMP_ALERT
10.71,34.08,18.64,36.44,27.12,157285.8,6.65,31.33,25.86,WATER
60.11,18.02,58.27,19.69,60.22,0.0,0.0,69.44,33.19,NIGHT_OK
53.63,19.93,82.56,21.69,86.98,7126.25,0.27,51.18,25.92,LOW_LIGHT
54.74,43.96,37.54,41.0,53.28,0.0,0.0,87.23,29.72,NOT_ABLE_TO_WATER
77.36,36.89,25.44,36.63,32.64,157285.8,4.09,70.55,32.14,VENTILATE
41.84,12.98,30.82,11.33,37.2,9887.24,0.72,45.9,30.13,LOW_TEMP_ALERT
