soil_moisture_(%),env_temperature_(°C),env_humidity_(%),plants_temp_(°C),plants_hum_(%),light_intensity_(lux),power_(W),soil_moisture_baseline,label
11.16,22.39,51.3,20.53,71.96,51231.75,1.49,64.41,NOT_ABLE_TO_WATER
99.54,27.23,72.47,26.68,83.02,41362.04,1.49,52.87,FUNGI_ALERT_EXCESS_WATER
86.46,44.05,79.86,42.88,83.65,0.0,0.0,59.17,FUNGI_ALERT_EXCESS_WATER
29.75,22.01,29.07,22.84,31.55,157285.8,4.51,38.33,WATER
76.69,11.71,63.58,10.2,64.63,0.0,0.0,30.62,FUNGI_ALERT_EXCESS_WATER
99.1,39.91,60.93,36.29,67.57,48970.82,2.29,91.92,NOT_ABLE_TO_VENTILATE
54.26,21.53,30.01,19.48,26.32,22930.63,0.0,13.96,EXCESS_WATER
75.79,19.99,26.65,16.9,21.51,157285.8,5.93,74.6,OK
21.88,42.85,39.35,41.95,40.74,12528.62,0.13,24.18,NOT_ABLE_TO_WATER
13.64,14.14,42.11,10.65,49.5,0.0,0.0,21.57,NOT_ABLE_TO_WATER
41.77,9.61,16.67,6.91,15.16,188.38,0.0,46.58,LOW_TEMP_ALERT
67.01,38.16,74.1,35.69,70.12,83213.74,2.88,80.77,OK
46.03,22.17,64.18,20.79,77.47,9050.66,0.0,46.39,LOW_LIGHT
13.81,34.43,54.92,30.98,66.62,157285.8,4.92,16.87,WATER
26.6,13.16,63.53,12.51,63.65,0.0,0.0,31.94,NOT_ABLE_TO_WATER
10.99,5.76,40.1,6.04,55.07,65854.24,1.78,82.97,NOT_ABLE_TO_WATER
54.33,24.76,90.08,24.59,87.85,0.0,0.0,76.15,NOT_ABLE_TO_WATER
53.93,31.14,42.82,31.78,52.14,157285.8,5.43,19.57,EXCESS_WATER
20.45,41.61,59.17,40.1,65.42,0.0,0.0,71.77,NOT_ABLE_TO_WATER
42.11,42.02,86.94,40.75,90.04,2114.75,0.0,40.23,NOT_ABLE_TO_VENTILATE
34.75,28.04,34.39,24.35,28.91,22567.02,1.12,36.72,NOT_ABLE_TO_WATER
80.87,7.5,23.14,8.01,31.71,0.0,0.0,19.44,FUNGI_ALERT_EXCESS_WATER
91.88,44.7,84.36,46.0,100.0,157285.8,6.25,49.06,FUNGI_ALERT_EXCESS_WATER
79.36,10.59,37.16,11.29,47.29,1005.45,0.0,70.8,LOW_TEMP_ALERT
24.46,23.87,45.64,25.09,65.62,0.0,0.0,61.38,NOT_ABLE_TO_WATER
53.32,32.09,35.81,32.48,42.82,0.0,0.0,57.02,OK
49.93,5.03,88.43,5.93,94.7,157285.8,5.74,48.74,LOW_TEMP_ALERT
72.2,34.2,36.22,33.51,40.06,0.0,0.0,88.54,NOT_ABLE_TO_WATER
69.37,6.55,86.17,5.43,88.28,0.0,0.0,58.74,LOW_TEMP_ALERT
93.53,40.99,79.43,42.24,87.93,157285.8,6.3,88.53,VENTILATE
35.93,12.54,90.85,12.81,91.85,45518.07,2.08,67.92,WATER
83.85,43.94,25.45,42.81,33.89,157285.8,5.01,72.51,HYDRIC_STRESS_ALERT
2.76,26.21,18.89,28.22,17.84,0.0,0.0,13.26,NOT_ABLE_TO_WATER
18.7,11.95,56.11,8.94,67.01,0.0,0.0,52.68,NOT_ABLE_TO_WATER
15.62,31.43,52.92,28.87,57.01,7868.35,0.27,20.96,NOT_ABLE_TO_WATER
71.04,25.57,50.7,26.16,73.3,157285.8,5.96,77.51,OK
96.18,29.14,81.2,30.39,77.87,157285.8,5.59,92.32,OK
55.04,38.19,88.2,33.72,100.0,157285.8,5.76,54.13,OK
57.86,24.95,31.84,22.21,34.49,0.0,0.0,61.47,OK
32.52,24.05,93.0,24.18,91.82,8384.5,0.1,33.63,NOT_ABLE_TO_WATER
97.7,15.13,66.08,12.7,76.38,157285.8,5.29,92.09,LOW_TEMP_ALERT
26.58,6.63,20.63,3.53,43.78,157285.8,5.43,28.66,WATER
20.41,13.88,38.18,11.54,45.81,12020.74,0.0,18.16,NOT_ABLE_TO_WATER
50.13,37.48,65.06,39.02,58.45,0.0,0.0,59.26,NOT_ABLE_TO_VENTILATE
17.66,25.65,65.45,25.73,72.47,157285.8,4.76,12.69,WATER
41.4,26.08,56.97,23.66,51.59,4273.38,0.54,35.64,LOW_LIGHT
68.28,41.95,73.6,40.45,64.92,0.0,0.0,71.52,NOT_ABLE_TO_VENTILATE
38.38,18.63,80.11,14.18,77.53,157285.8,4.75,83.68,WATER
74.44,32.62,26.37,30.45,8.59,157285.8,5.3,76.79,OK
73.4,35.93,74.93,32.78,78.88,0.0,0.0,76.22,OK
41.04,40.86,65.45,42.23,68.31,157285.8,4.52,38.24,VENTILATE
72.6,26.21,22.65,22.52,37.98,0.0,0.0,72.2,OK
31.92,33.13,83.63,31.62,86.86,157285.8,5.86,28.84,WATER
76.49,15.4,53.74,12.71,72.22,0.0,0.0,75.74,LOW_TEMP_ALERT
44.76,27.23,71.82,24.67,76.96,9600.03,0.41,40.31,LOW_LIGHT
39.27,8.11,76.98,3.35,82.08,2266.29,0.0,42.45,NOT_ABLE_TO_WATER
78.02,15.03,54.78,12.58,56.81,157285.8,4.67,77.75,LOW_TEMP_ALERT
40.2,14.04,74.43,15.77,87.86,157285.8,4.59,14.46,FUNGI_ALERT_EXCESS_WATER
45.56,19.99,90.9,17.64,100.0,1752.19,0.04,38.89,LOW_LIGHT
43.52,41.8,51.3,39.97,54.44,157285.8,5.24,91.8,WATER
32.22,25.35,36.82,25.9,35.1,0.0,0.0,26.64,NOT_ABLE_TO_WATER
97.56,9.56,67.93,9.22,75.1,0.0,0.0,92.4,LOW_TEMP_ALERT
95.98,38.32,68.85,36.48,59.65,157285.8,4.74,17.04,EXCESS_WATER
76.72,21.08,69.47,17.97,72.22,157285.8,5.31,81.84,OK
88.63,6.61,27.26,0.87,50.01,157285.8,5.23,87.25,LOW_TEMP_ALERT
52.08,21.3,33.7,21.0,34.54,157285.8,4.19,50.96,OK
70.7,13.36,30.69,12.73,28.44,0.0,0.0,67.06,LOW_TEMP_ALERT
61.07,28.81,20.4,27.63,20.32,47502.46,1.44,58.19,OK
59.5,44.08,34.56,44.5,50.17,0.0,0.0,64.26,NOT_ABLE_TO_VENTILATE
56.32,13.38,51.0,8.81,48.76,157285.8,4.9,55.34,LOW_TEMP_ALERT
72.24,13.69,54.48,14.72,58.99,35122.7,1.21,20.74,EXCESS_WATER
97.24,32.75,41.56,30.89,35.61,157285.8,6.01,16.64,EXCESS_WATER
81.09,11.19,30.17,12.04,35.93,0.0,0.0,82.29,LOW_TEMP_ALERT
47.05,31.91,23.06,29.24,nan,0.0,0.0,51.94,INSUFFICIENT_DATA
72.48,41.95,20.17,38.03,39.81,0.0,0.0,76.79,HYDRIC_STRESS_ALERT
16.82,7.25,43.45,9.74,29.43,157285.8,4.97,72.06,WATER
52.08,23.24,90.58,20.78,87.12,39163.45,1.7,53.83,OK
27.48,22.0,57.75,20.29,48.3,157285.8,4.88,27.18,WATER
42.97,28.88,15.64,27.64,14.18,0.0,0.0,88.59,NOT_ABLE_TO_WATER
48.26,43.9,30.22,42.2,38.9,67909.77,2.75,46.56,VENTILATE
54.51,42.54,62.97,39.48,68.26,136.49,0.02,54.01,NOT_ABLE_TO_VENTILATE
64.42,19.43,82.95,20.74,88.73,44022.95,1.63,55.95,OK
33.13,40.86,55.29,35.91,60.1,25625.26,nan,81.13,INSUFFICIENT_DATA
48.15,33.09,53.1,31.54,57.7,0.0,0.0,42.38,OK
85.7,44.81,79.48,45.62,91.51,96936.86,3.07,50.12,FUNGI_ALERT_EXCESS_WATER
48.1,38.53,46.26,36.61,51.36,157285.8,6.23,44.89,VENTILATE
87.03,12.88,79.22,5.3,84.42,58027.57,1.91,91.4,LOW_TEMP_ALERT
19.3,44.0,84.43,39.03,88.25,28160.42,1.18,21.11,NOT_ABLE_TO_WATER
59.57,9.51,69.86,4.11,74.64,3526.56,0.25,33.6,EXCESS_WATER
71.26,23.74,49.21,23.89,nan,0.0,0.0,82.69,INSUFFICIENT_DATA
17.25,25.52,28.96,22.62,40.75,1583.83,0.69,12.26,NOT_ABLE_TO_WATER
45.34,25.71,63.9,23.89,64.67,157285.8,4.44,48.97,OK
96.34,9.18,42.73,3.52,58.16,0.0,0.0,85.77,LOW_TEMP_ALERT
10.99,31.18,29.74,27.53,34.38,29796.66,1.31,16.27,NOT_ABLE_TO_WATER
62.44,21.75,76.24,19.7,72.49,4942.01,0.34,57.46,LOW_LIGHT
22.24,7.97,27.54,5.76,28.05,1368.91,0.76,84.33,NOT_ABLE_TO_WATER
64.13,36.22,41.66,32.67,57.56,0.0,0.0,67.16,OK
8.56,24.99,91.76,22.61,97.55,0.0,0.0,13.92,NOT_ABLE_TO_WATER
61.63,43.79,25.96,43.03,23.08,0.0,0.0,57.18,HYDRIC_STRESS_ALERT
42.37,32.55,47.74,31.8,42.6,0.0,0.0,35.79,OK
23.43,42.39,89.15,41.11,100.0,0.0,0.0,36.22,NOT_ABLE_TO_WATER
60.58,38.77,92.74,34.17,100.0,157285.8,5.93,59.05,OK
69.26,27.31,42.44,25.22,41.13,157285.8,4.86,74.74,OK
83.85,7.59,17.47,4.13,18.32,0.0,0.0,82.47,LOW_TEMP_ALERT
6.48,13.99,31.51,12.69,42.95,157285.8,4.83,47.15,WATER
17.68,17.29,39.43,16.02,35.44,0.0,0.0,20.62,NOT_ABLE_TO_WATER
92.52,15.36,63.29,18.92,72.3,0.0,0.0,88.32,OK
51.77,13.41,22.26,11.85,18.15,2096.96,0.05,46.6,LOW_TEMP_ALERT
94.08,19.99,26.62,17.44,30.29,157285.8,5.65,90.48,OK
97.83,20.65,27.76,16.81,37.97,4809.36,0.1,77.9,EXCESS_WATER
45.11,23.26,86.28,19.85,100.0,17229.33,0.44,40.13,OK
79.56,28.16,22.73,30.03,47.95,31614.22,0.79,92.21,OK
42.33,8.88,69.65,6.18,79.02,12775.5,1.12,55.64,LOW_TEMP_ALERT
44.49,31.38,88.22,34.08,90.79,157285.8,5.39,47.21,OK
nan,17.87,18.07,17.33,32.97,0.0,0.0,29.9,INSUFFICIENT_DATA
58.88,39.1,40.06,37.1,49.46,122545.52,4.46,57.81,VENTILATE
71.91,27.1,54.11,23.6,57.26,0.0,0.0,28.33,FUNGI_ALERT_EXCESS_WATER
19.03,28.49,18.42,25.64,30.56,157285.8,4.6,17.63,WATER
32.72,37.99,53.6,37.04,62.48,79633.45,3.2,88.76,WATER
90.73,28.31,15.57,26.08,17.42,157285.8,5.26,93.63,OK
82.18,7.53,70.34,6.46,83.21,0.0,0.0,85.94,LOW_TEMP_ALERT
15.05,7.89,91.01,7.09,96.43,157285.8,0.12,12.88,NOT_ABLE_TO_WATER
45.85,34.61,90.73,31.13,92.43,0.0,0.0,56.34,OK
75.72,17.33,90.88,13.86,95.31,157285.8,5.71,69.88,LOW_TEMP_ALERT
57.06,15.67,59.21,14.79,60.35,0.0,0.0,68.68,LOW_TEMP_ALERT
78.43,43.15,90.32,42.01,99.84,22463.62,0.8,37.05,FUNGI_ALERT_EXCESS_WATER
86.86,24.18,43.2,24.25,65.14,157285.8,5.6,86.25,OK
96.19,42.14,20.31,39.0,40.75,39700.2,1.47,94.74,HYDRIC_STRESS_ALERT
79.76,12.66,20.28,15.0,28.35,157285.8,4.71,79.54,OK
23.73,13.01,69.81,14.04,80.35,14634.75,0.23,25.39,NOT_ABLE_TO_WATER
31.71,17.48,80.77,14.92,100.0,0.0,0.0,12.59,NOT_ABLE_TO_WATER
